TABLE  1,,,,
"CO1VIPOSITION  OF  THE  STOMACH  CONTENTS  (%  MASS)  OF  ALL  LENGHT  GROUPS  OF  B.  AENEUS,",,,,
C.  GARIEPINUS  AND  0.  MYKISS  FOR  EACH  SEASON,,,,
B.  aeneus,,,,
Food  type,autumn  (n  =  86),winter  (n  =  76),spring  (n  =  56),summer  (n  =  68)
,range,range,range,range
Zooplankton,"4,7%  (2-9%)","8,7%  (5-15%)","10,0%  (2-18%)","5,7%  (3-8%)"
Micronekton,"6,0%  (4-8%)","12,7%  (8-22%)","8,0%  (4-12%)","7,3%  (6-9%)"
Zoobenthos,"5,0%  (4-7%)","15,3%  (11-21%)","3,5%  (<4%)","2,0%  (<4%)"
Plant  material,"31,7%  (24-38%)","10,3%  (8-13%)","13,5%  (10-17%)","25,3%  (20-34%)"
Unidentifable,"51,7%  (42-63%)","54,3%  (50-57%)","66,5%  (66-67%)","59,0%  (52-64%)"
C.  gariepinus,,,,
Food  type,autumn  (n  =  45),winter  (n  =  8),spring  (n  =  54),summer  (n  =  60)
,range,range,range,51  range
Zooplankton,"16,3%  (0-32%)","7,5%  (5-10%)","14,0%  (7-21%)","1,7%  (<3%)"
Micronekton,"36,3%  (19-68%)","13,0%  (12-15%)","16,5%  (16-17%)","25,7%  (17-35%)"
Zoobenthos,"13,0%  (6-19%)","9,0%  (5-13%)","15,0%  (10-20%)","11,3%  (10-13%)"
Plant  material,"12,3%  (3-18%)","7,0%  (6-8%)","17,5%  (14-21%)","22,0%  (17-28%)"
Unidentifable,"20,7%  (14-26%)","58,5%  (58-59%)","33,0%  (26-40%)","36,0%  (32-38%)"
0.  mykiss,,,,
Food  type,autumn  (n  =  29),winter  (n  =  151),spring  (n  =  130),summer  (n  =  64)
,5 range,51  range,51  range,51  range
Zooplankton,"46,3%  (32-54%)","40,7%  (39-44%)","36,0%  (16-59%)","9,5%  (0-19%)"
Micronekton,"18,7%  (2-37%)","18,7%  (12-22%)","16,7%  (9-25%)","33,5%  (22-45%)"
Zoobenthos,"0,7%  (<2%)","0,7%  (<2%)","0,7%  (<1%)","0,2%  (<0,5%)"
Plant  material,"1,0%  (<2%)","7,7%  (7-8%)","9,7%  (4-18%)","9,5%  (8-11%)"
Unidentifiable,32.3%  (26-44%),"32,0%  (25-42%)","37,7%  (14-56%)","48,0%  (48-48%)"