,,"Diet composition and feeding parameters in age groups of Squalius carolitertii from the Tormes River, Central Spain"
,,,Age 1,,,,,,Age 2,,,,,,Age 3,,,,,,Age 5
Prey item,Diet,,Ivlev,,Savage,,Diet,,Ivlev,,Savage,,Diet,,Ivlev,,Savage,,Diet,,Ivlev,,Savage
,Ai,Fi,B,D,B,D,Ai,Fi,B,D,B,D,Ai,Fi,B,D,B,D,Ai,Fi,B,D,B,D
Dugesia spp.,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Lumbriculidae,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Ancylus fluviatilis,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Hydracarina gen. sp.,4.5,5.7,1,1,56.1,IF,33.3,23.1,0.995,1,416.7,IF,—,—,-1,1,0,IF,—,—,-1,1,0,IF
Copepoda gen. sp.,0.6,2.9,1,1,IF,IF,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Baetis spp.,24.4,42.9,0.1,0.5,1.3,3.2,20.4,53.8,0.04,0.5,1.1,2.7,79.2,57.1,0.6,0.8,4.2,10.5,28.6,100,0.2,0.6,1.5,3.8
Ephemerella spp.,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Ecdyonurus spp.,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Epeorus spp.,2.6,11.4,-0.8,0.2,0.1,1.4,3.7,15.4,-0.8,0.4,0.1,2.1,2.6,42.9,-0.8,0.2,0.1,1.5,—,—,-1,-1,0,0
Habrophlebia sp.,1.3,5.7,0.9,1,16.0,IF,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Leuctra geniculata,—,—,-1,-1,0,0,—,—,-1,-1,0,0,0.6,14.3,-0.5,-0.5,0.3,0.4,—,—,-1,-1,0,0
Perla sp.,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Boyeria irene,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Ophiogomphus sp.,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Aphelocheirus aestivalis,1.3,5.7,0.04,0.5,1.1,2.9,—,—,-1,-1,0,0,—,—,-1,-1,0,0,14.3,50,0.8,0.9,12.0,32.5
Micronecta sp.,—,—,—,-1,—,0,—,—,-1,-1,0,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Elmis sp.,0.6,2.9,0.3,0.2,1.9,1.5,—,—,-1,-1,0,0,—,—,-1,-1,0,0,14.3,50,1,0.9,42.0,32.5
Macronychus sp.,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Oulimnius sp.,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Esolus spp.,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Orectochilus sp.,—,—,—,-1,—,0,—,—,-,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Hydraena sp.,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Micrasema sp.,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Hydropsyche spp.,4.5,17.1,-0.4,0.06,0.4,1.1,3.7,15.4,-0.5,-0.04,0.3,0.9,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Lepidostoma sp.,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Leptoceridae,—,—,—,—,—,—,—,—,—,—,—,—,0.6,14.3,1,1,IF,IF,—,—,—,—,—,—
Allogamus sp.,—,—,-1,-1,0,0,—,—,-1,-1,0,0,3.9,57.1,0.9,0.8,22.9,8.9,28.6,50,0.99,0.97,168.1,64.9
Chimarra marginata,0.6,2.9,-0.7,-0.2,0.2,0.7,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Polycentropus sp.,—,—,-1,—,0,—,—,—,-1,—,0,—,1.9,42.9,0.8,1,7.8,IF,14.3,50,0.97,1,57.1,IF
Rhyacophila spp.,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Rhyacophila spp.,2.6,11.4,0.2,0.7,1.4,5.8,1.9,7.7,0.02,0.6,1.04,4.2,0.6,14.3,-0.5,0.2,0.4,1.5,—,—,-1,-1,0,0


cont. Table 2
Atherix sp.,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0,—,—,-1,-1,0,0
Tanypodinae,3.8,14.3,0.1,0.04,1.3,1.1,1.9,7.7,-0.2,-0.3,0.6,0.5,2.6,42.9,-0.1,-0.2,0.9,0.7,—,—,-1,-1,0,0
Orthocladiinae,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Empididae,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—
Tipulidae,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,-,-1,—,0
Simuliidae,42.3,51.4,0.5,-0.2,3.4,0.6,25.9,15.4,0.4,-0.4,2.1,0.4,3.2,42.9,-0.6,-0.9,0.3,0.05,—,—,-1,-1,0,0
Brachycentridae,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Trichoptera gen. sp.,1.9,8.6,—,1,—,IF,1.9,7.7,—,1,—,IF,1.9,14.3,—,1,—,IF,—,—,—,—,—,—
Ephemeroptera gen. sp.,1.3,5.7,—,1,—,IF,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Asilidae,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Chironomidae,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Simuliidae,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0,—,—,—,-1,—,0
Diptera gen. sp.,0.6,2.9,—,1,—,IF,—,—,—,—,—,—,0.6,14.3,—,1,—,IF,—,—,—,—,—,—
Formicidae,5.1,17.1,—,0.8,—,11.7,5.6,23.1,—,0.9,—,12.6,0.6,14.3,—,0.2,—,1.5,—,—,—,-1,—,0
Coleoptera gen. sp.,0.6,2.9,—,1,—,IF,—,—,—,—,—,—,0.6,14.3,—,1,—,IF,—,—,—,—,—,—
Arachnida gen. sp.,1.3,5.7,—,1,—,IF,1.9,7.7,—,1,—,IF,—,—,—,—,—,—,—,—,—,—,—,—
Fish,—,—,—,—,—,—,—,—,—,—,—,—,0.6,14.3,—,—,—,—,—,—,—,—,—,—
Detritus,—,65.7,—,—,—,—,—,53.8,—,—,—,—,—,28.6,—,—,—,—,—,0,—,—,—,—
Ai = relative abundance; Fi = frequency of occurrence; Ivlev = Ivlev’s selectivity index; Savage = Savage selectivity index; IF = Savage index tended to infinity; OP = other prey items;
B = Benthos; D = Drift; Benthos and drift composition are shown in Table 1.