"fish_id_new","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"Pollard_1973_tbl 3_165_PercentPercent composition_Lake Modewarre, Victoria_4_NA_1_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"165","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","1",NA,"amphipoda","25","unknown"
"Pollard_1973_tbl 3_312_PercentPercent composition_Lake Modewarre, Victoria_4_NA_2_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"312","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","2",NA,"amphipoda","36","unknown"
"Pollard_1973_tbl 3_93_PercentPercent composition_Lake Modewarre, Victoria_4_NA_3_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"6.5","cm","Fork length",NA,"93","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","3",NA,"amphipoda","22","unknown"
"Pollard_1973_tbl 3_228_PercentPercent composition_Lake Modewarre, Victoria_7_NA_4_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","7",NA,"9.5","cm","Fork length",NA,"228","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","4",NA,"amphipoda","27","unknown"
"Pollard_1973_tbl 3_199_PercentPercent composition_Lake Modewarre, Victoria_10_NA_5_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","10",NA,"12.5","cm","Fork length",NA,"199","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","5",NA,"amphipoda","33","unknown"
"Pollard_1973_tbl 3_79_PercentPercent composition_Lake Modewarre, Victoria_13_NA_6_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","13",NA,"16","cm","Fork length",NA,"79","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","6",NA,"amphipoda","45","unknown"
"Pollard_1973_tbl 3_107_PercentPercent composition_Lake Modewarre, Victoria_4_NA_7_1964-08-01_1964-11-20lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"107","1964-08-01","1964-11-20","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","7",NA,"amphipoda","15","unknown"
"Pollard_1973_tbl 3_115_PercentPercent composition_Lake Modewarre, Victoria_4_NA_8_2020-11-19_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"115","2020-11-19","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","8",NA,"amphipoda","35","unknown"
"Pollard_1973_tbl 3_131_PercentPercent composition_Lake Modewarre, Victoria_4_NA_9_1964-04-01_1964-06-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"131","1964-04-01","1964-06-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","9",NA,"amphipoda","40","unknown"
"Pollard_1973_tbl 3_140_PercentPercent composition_Lake Modewarre, Victoria_4_NA_10_1964-06-01_1964-10-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"140","1964-06-01","1964-10-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","10",NA,"amphipoda","38","unknown"
"Pollard_1973_tbl 3_165_PercentPercent composition_Lake Modewarre, Victoria_4_NA_1_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"165","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","1",NA,"chironomidae larvae","15","larvae"
"Pollard_1973_tbl 3_312_PercentPercent composition_Lake Modewarre, Victoria_4_NA_2_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"312","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","2",NA,"chironomidae larvae","17","larvae"
"Pollard_1973_tbl 3_93_PercentPercent composition_Lake Modewarre, Victoria_4_NA_3_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"6.5","cm","Fork length",NA,"93","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","3",NA,"chironomidae larvae","14","larvae"
"Pollard_1973_tbl 3_228_PercentPercent composition_Lake Modewarre, Victoria_7_NA_4_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","7",NA,"9.5","cm","Fork length",NA,"228","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","4",NA,"chironomidae larvae","15","larvae"
"Pollard_1973_tbl 3_199_PercentPercent composition_Lake Modewarre, Victoria_10_NA_5_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","10",NA,"12.5","cm","Fork length",NA,"199","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","5",NA,"chironomidae larvae","17","larvae"
"Pollard_1973_tbl 3_79_PercentPercent composition_Lake Modewarre, Victoria_13_NA_6_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","13",NA,"16","cm","Fork length",NA,"79","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","6",NA,"chironomidae larvae","13","larvae"
"Pollard_1973_tbl 3_107_PercentPercent composition_Lake Modewarre, Victoria_4_NA_7_1964-08-01_1964-11-20lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"107","1964-08-01","1964-11-20","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","7",NA,"chironomidae larvae","10","larvae"
"Pollard_1973_tbl 3_115_PercentPercent composition_Lake Modewarre, Victoria_4_NA_8_2020-11-19_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"115","2020-11-19","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","8",NA,"chironomidae larvae","18","larvae"
"Pollard_1973_tbl 3_131_PercentPercent composition_Lake Modewarre, Victoria_4_NA_9_1964-04-01_1964-06-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"131","1964-04-01","1964-06-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","9",NA,"chironomidae larvae","9","larvae"
"Pollard_1973_tbl 3_140_PercentPercent composition_Lake Modewarre, Victoria_4_NA_10_1964-06-01_1964-10-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"140","1964-06-01","1964-10-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","10",NA,"chironomidae larvae","17","larvae"
"Pollard_1973_tbl 3_165_PercentPercent composition_Lake Modewarre, Victoria_4_NA_1_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"165","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","1",NA,"copepoda","20","unknown"
"Pollard_1973_tbl 3_312_PercentPercent composition_Lake Modewarre, Victoria_4_NA_2_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"312","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","2",NA,"copepoda","8","unknown"
"Pollard_1973_tbl 3_93_PercentPercent composition_Lake Modewarre, Victoria_4_NA_3_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"6.5","cm","Fork length",NA,"93","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","3",NA,"copepoda","22","unknown"
"Pollard_1973_tbl 3_228_PercentPercent composition_Lake Modewarre, Victoria_7_NA_4_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","7",NA,"9.5","cm","Fork length",NA,"228","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","4",NA,"copepoda","20","unknown"
"Pollard_1973_tbl 3_199_PercentPercent composition_Lake Modewarre, Victoria_10_NA_5_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","10",NA,"12.5","cm","Fork length",NA,"199","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","5",NA,"copepoda","6","unknown"
"Pollard_1973_tbl 3_79_PercentPercent composition_Lake Modewarre, Victoria_13_NA_6_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","13",NA,"16","cm","Fork length",NA,"79","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","6",NA,"copepoda","1","unknown"
"Pollard_1973_tbl 3_107_PercentPercent composition_Lake Modewarre, Victoria_4_NA_7_1964-08-01_1964-11-20lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"107","1964-08-01","1964-11-20","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","7",NA,"copepoda","27","unknown"
"Pollard_1973_tbl 3_115_PercentPercent composition_Lake Modewarre, Victoria_4_NA_8_2020-11-19_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"115","2020-11-19","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","8",NA,"copepoda","17","unknown"
"Pollard_1973_tbl 3_131_PercentPercent composition_Lake Modewarre, Victoria_4_NA_9_1964-04-01_1964-06-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"131","1964-04-01","1964-06-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","9",NA,"copepoda","4","unknown"
"Pollard_1973_tbl 3_140_PercentPercent composition_Lake Modewarre, Victoria_4_NA_10_1964-06-01_1964-10-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"140","1964-06-01","1964-10-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","10",NA,"copepoda","3","unknown"
"Pollard_1973_tbl 3_165_PercentPercent composition_Lake Modewarre, Victoria_4_NA_1_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"165","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","1",NA,"cladocera","7","unknown"
"Pollard_1973_tbl 3_312_PercentPercent composition_Lake Modewarre, Victoria_4_NA_2_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"16","cm","Fork length",NA,"312","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","2",NA,"cladocera","6","unknown"
"Pollard_1973_tbl 3_93_PercentPercent composition_Lake Modewarre, Victoria_4_NA_3_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","4",NA,"6.5","cm","Fork length",NA,"93","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","3",NA,"cladocera","13","unknown"
"Pollard_1973_tbl 3_228_PercentPercent composition_Lake Modewarre, Victoria_7_NA_4_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","7",NA,"9.5","cm","Fork length",NA,"228","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","4",NA,"cladocera","7","unknown"
"Pollard_1973_tbl 3_199_PercentPercent composition_Lake Modewarre, Victoria_10_NA_5_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","10",NA,"12.5","cm","Fork length",NA,"199","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","5",NA,"cladocera","9","unknown"
"Pollard_1973_tbl 3_79_PercentPercent composition_Lake Modewarre, Victoria_13_NA_6_1964-03-01_1965-02-01lenticNA","Lake Modewarre, Victoria","GALAXIAS MACULATUS","Percent composition","Percent","13",NA,"16","cm","Fork length",NA,"79","1964-03-01","1965-02-01","monthly","lentic",NA,"Pollard","1973","Australian Journal of Marine and Freshwater Research","Pollard, D. A. (1971). The biology of a landlocked form of the normally catadromous salmoniform fish Galaxias maculatus (Jenyns). I. Life cycle and origin. Marine and Freshwater Research, 22(2), 91-124.","tbl 3","averaged over dates for different size ranges","6",NA,"cladocera","11","unknown"
