"","fish_id","total","citation","author_year_tbl","sample_size","start_date"
"80","0001FFMGG6RVQ8M23MT38ZQNCW",94,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","19","1972-08-01"
"81","0001FFMGG6XZRPP9V57G82GCMG",94,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","26","1973-08-01"
"82","0001FB8GZ75ER8R42ZBZ15QW9X",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1988-05-16"
"83","0001FB8GZ7986KVPP7MDT5JDQA",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1988-05-16"
"84","0001FB8GZ7QTFZP2Y8KG5TJTA8",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-07-13"
"85","0001FB8GZ7VED2F2BF6GHYWFC1",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1988-10-20"
"86","0001FB8GZ8J4M5CWEZ9ZEQ5CCE",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1989-01-11"
"87","0001FB8GZ8Q8Y348N9NW914336",93,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1989-01-11"
"88","0001FFMGJB2SE2HWY185R0YC5A",93,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","Hickley and Bailey_1987_tbl 3","116","no mention"
"89","0001FB8HMY4S1C77R5DJE0P75C",92.99,"Zakeyuddin, M. S., Isa, M. M., & Rawi, C. S. M. (2017). Terrestrial Insects as the Main Food for Freshwater Fish in Sungai Kerian Tributaries: An Implication on Habitat Conservation. Sains Malaysiana, 46(6), 833-843.","Zakeyuddin et al._2017_tbl 3","127","2008-05-01"
"90","0001FB8GZ7FAV4TYVN5SGG7HY6",92.5,"Sagar, P. M., & Glova, G. J. (1994). Food partitioning by small fish in a coastal New Zealand stream. New Zealand journal of marine and freshwater research, 28(4), 429-436.","Sagar & Glova_1994_tbl 2","18","1993-04-05"
"91","0001FB8GZ7CFXM2DKFJWYX5N6Q",92,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","30","1988-10-07"
"92","0001FB8GZ7NRK8SNMGNFXSEHX3",92,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","29","1988-04-27"
"93","0001FB8GZ7SHXXRVEY6EVK17BD",92,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","29","1988-04-27"
"94","0001FB8GZ7V37A31SKAQQDQ04W",92,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-07-13"
"95","0001FFMGG69FA1V74GZF9HF6C8",92,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","23","1972-08-01"
"96","0001FFMGJB1NYA80PNNH7Z5RH4",92,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","Hickley and Bailey_1987_tbl 2","19","no mention"
"97","0001F8466BJZ587XT8V5JCM1PP",91.1,"Nilsson, N. A. (1955). Studies on the feeding hibits of trout and char in north Swedish lakes. Report of Institute of Freshwater Research Drottningholm, 36, 163-225.","Nilsson_1955_tbl 13","24","1944-09-01"
"98","0001FB8GZ7FBBK7NAC1JD508FX",91,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-10-06"
"99","0001FB8GZ8HG0591J7Z7F52QBX",91,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1989-02-08"
"100","0001FB8GZ8JX1E9RC0W9A0WHR5",91,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","2","1989-01-10"
"101","0001FFMGG67RZVNS088NSH9X1P",91,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","28","1973-08-01"
"102","0001FFMGG6V0VFW3Z7626RF2DH",91,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","21","1973-08-01"
"103","0001FB8GZ71TJSVHFC1CAE3WZ2",90,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1988-03-28"
"104","0001FB8GZ7N86Z4WH8KWX7KXKX",90,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","22","1988-07-08"
"105","0001FB8GZ7YD5Y1VWRKZNCYZRA",90,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","30","1988-10-07"
"106","0001FFMGG67PK73AGM40GWVM1N",90,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","22","1972-08-01"
"107","0001FFMGG6YQ97B5Y0WR6QQD86",90,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","39","1972-05-01"
"108","0001FB8GZ7TG1FSD6A2FHJP46P",89,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1988-07-20"
"109","0001FB8GZ7XSJ8DC1YJN855B6Y",89,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-10-06"
"110","0001FB8GZ7006P7MSK8NA3YH5J",88.4,"Sagar, P. M., & Glova, G. J. (1994). Food partitioning by small fish in a coastal New Zealand stream. New Zealand journal of marine and freshwater research, 28(4), 429-436.","Sagar & Glova_1994_tbl 2","29","1993-03-04"
"111","0001FB8GZ74V9100TQVPTH6J62",88,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-07-13"
"112","0001FB8GZ78HDJTFT8A9Y4Y2ZE",88,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","2","1988-10-20"
"113","0001FB8GZ8NFWRF2NBVAMVHG9B",88,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1989-01-11"
"114","0001FB8GZ8SGTHQRSSXVFKWK3K",88,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1989-01-11"
"115","0001FB8GZ7AZYHBQ4TPNKPHANA",87.9,"Sagar, P. M., & Glova, G. J. (1994). Food partitioning by small fish in a coastal New Zealand stream. New Zealand journal of marine and freshwater research, 28(4), 429-436.","Sagar & Glova_1994_tbl 2","6","1993-04-05"
"116","0001FB8GZ7ATXXWT5REE78R2V8",87,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-03-28"
"117","0001FB8GZ7C3K1NRK865VF4W5Q",87,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","22","1988-07-08"
"118","0001FB8GZ8860CV3AG7CK7Z6QD",87,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1989-01-11"
"119","0001FB8GZ8WHS5X2H5Y94J7QEA",87,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","2","1989-01-10"
"120","0001FB8HSK4CM7N2DFN3BAQ8N7",86.2,"Welton, J. S., JS, W., & CA, M. (1983). Food and habitat partitioning in two small benthic fishes, Noemacheilus barbatulus (L.) and Cottus gobio L.","Welton et al._1983_tbl 5",NA,"1980-10-01"
"121","0001F846JJX9WBBT7RTXVHA19R",86,"Cordes, L. E., & Page, L. M. (1980). Feeding chronology and diet composition of two darters (Percidae) in the Iroquois River system, Illinois. American Midland Naturalist, 202-206.","Cordes & Page_1980_tbl 1","10","1977-09-09"
"122","0001FB8GZ75ZDBWBHQ5YPP4X8Z",86,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-10-20"
"123","0001FB8GZ7Q4SCV4SSHW9Z2BYB",86,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-03-28"
"124","0001FB8GZ8F9RKH6CXQCQ1PAT0",86,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1989-02-08"
"125","0001FB8GZ7WDAFEWKFGYA3NCZE",85,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","20","1988-10-20"
"126","0001FFMGG6NKQFM1SZZB5FW8JH",85,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","29","1973-05-01"
"127","0001FFMGK5YH84Q41PWP2PMSS2",83.8,"no results in search","Tester_1932_tbl 1","24","1929-01-01"
"128","0001FB8HSKXMVW1SV5X263M9T1",83.32,"Turner, C. L. (1922). Notes on the food habits of young of Cottus ictalops (millers thumb).","Turner_1992_tbl 1","3",NA
"129","0001FFMGC3XXPQBKRT6WPXX3AX",83,"Olojo, E. A. A., Olurin, K. B., & Osikoya, O. J. (2003). Food and feeding habits of Synodontis nigrita from the Osun River, SW Nigeria.","Olojo et al._2003_tbl 1","34","2000-12-01"
"130","0001FFMGGWNYHPZPRYXM1MYSEN",83,"Allison, M. E., & Youdubagha, S. E. (2013). Preliminary studies on the food and feeding habits of Synodontis membraneceus from Ogobiri River, Nigeria.","Allison & Youdubagha_2013_tbl 1a","8","2012-04-01"
"131","Perry_1970_tbl19_1_NA_percentpercent volume_Tuttle Creek Reservoir, Kansas_NA_NA_1_1969-05-01_1969-06-01ReservoirNA",83,"Perry, K. R. (1970). The distribution and food habits of bottom fishes in Tuttle Creek Reservoir (Doctoral dissertation, Kansas State University).","Perry_1970_tbl19",NA,"1969-05-01"
"132","0001FB8GZ8VDTGVXCF1Z48C368",82,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","15","1989-01-11"
"133","0001FFMGG6XQ11AXW6RBM0T4DZ",80,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","35","1971-05-01"
"134","0001FFMGG6JZ0QMPJF6D414M1Y",79,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","28","1973-05-01"
"135","0001F846JJX0CQ64D44D43108F",75.1,"Cordes, L. E., & Page, L. M. (1980). Feeding chronology and diet composition of two darters (Percidae) in the Iroquois River system, Illinois. American Midland Naturalist, 202-206.","Cordes & Page_1980_tbl 1","10","1977-09-09"
"136","0001FFMGG688YKX24C420FP025",74,"Keast, A. (1977). Diet overlaps and feeding relationships between the year classes in the yellow perch (Perca flavescens). Environmental Biology of Fishes, 2(1), 53-70.","Keast_1977_tbl 2","24","1971-08-01"
"137","0001FFMGC3TJGG46KGNVWNJGYQ",73.7,"Olojo, E. A. A., Olurin, K. B., & Osikoya, O. J. (2003). Food and feeding habits of Synodontis nigrita from the Osun River, SW Nigeria.","Olojo et al._2003_tbl 1","34","2000-11-01"
"138","0001FB8GZ78CE5FRBCQ5BEBG57",73,"Santamarina, J. (1993). Feeding ecology of a vertebrate assemblage inhabiting a stream of NW Spain (Riobo; Ulla basin). Hydrobiologia, 252(2), 175-191.","Santamarina_1993_tbl 3","18","1988-03-28"
"139","0001FFMGC3FF82WYC3P7AR8RB0",72.449,"Villares-Junior, G. A., Cardone, I. B., & Goitein, R. (2016). Comparative feeding ecology of four syntopic Hypostomus species in a Brazilian southeastern river. Brazilian Journal of Biology, 76(3), 692-699.","Villares-Junior et al._2016_tbl 2","21","2002-06-01"
"140","0001FFMGGWJ8P35YQPAMH63S7X",69,"Allison, M. E., & Youdubagha, S. E. (2013). Preliminary studies on the food and feeding habits of Synodontis membraneceus from Ogobiri River, Nigeria.","Allison & Youdubagha_2013_tbl 1a","8","2012-04-01"
"141","0001F846JJ902A79NT120Y0WCM",62.2,"Cordes, L. E., & Page, L. M. (1980). Feeding chronology and diet composition of two darters (Percidae) in the Iroquois River system, Illinois. American Midland Naturalist, 202-206.","Cordes & Page_1980_tbl 1b","10","1977-09-09"
"142","0001F846ZQ71JECA8TBNEBRHMY",60.4,"Moshin, A. M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.","Moshin & Gallaway_1977_tbl 1","71","1973-09-27"
"143","0001F846ZQV5ZW04JWCF2FD6Y5",57.529,"Moshin, A. M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.","Moshin & Gallaway_1977_tbl 1","95","1974-03-11"
"144","0001F846ZQ3DNT9769J57ADT5F",50.5,"Moshin, A. M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.","Moshin & Gallaway_1977_tbl 1","53","1973-12-11"
"145","0001FFMGGWRFZ1HSQFQRJGXXCF",44,"Allison, M. E., & Youdubagha, S. E. (2013). Preliminary studies on the food and feeding habits of Synodontis membraneceus from Ogobiri River, Nigeria.","Allison & Youdubagha_2013_tbl 1b","5","2012-04-01"
"146","0001F846JJ3NS43BH8H8WZGV35",43,"Cordes, L. E., & Page, L. M. (1980). Feeding chronology and diet composition of two darters (Percidae) in the Iroquois River system, Illinois. American Midland Naturalist, 202-206.","Cordes & Page_1980_tbl 1","10","1977-09-09"
"147","0001FB8HSKC52ZXVZQV9MA6F8H",36.6,"Welton, J. S., JS, W., & CA, M. (1983). Food and habitat partitioning in two small benthic fishes, Noemacheilus barbatulus (L.) and Cottus gobio L.","Welton et al._1983_tbl 10",NA,"1980-10-01"
"148","0001F846ZQ4J3E26ZTA9MHF90Y",32.779,"Moshin, A. M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.","Moshin & Gallaway_1977_tbl 1","71","1973-09-27"
"149","0001FFMGG6F1SZCQYBZ1GG17KX",32.6,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","10","1967-08-04"
"150","0001F846ZQHRJS15B0F3BS99K7",31.69,"Moshin, A. M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.","Moshin & Gallaway_1977_tbl 1","53","1973-12-11"
"151","0001F846ZQ11WVPZ8YAV2KY439",30.099,"Moshin, A. M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.","Moshin & Gallaway_1977_tbl 1","121","1974-06-13"
"152","0001FB8HSKHHS0ZM2EXMKPRM2Q",25.2,"Welton, J. S., JS, W., & CA, M. (1983). Food and habitat partitioning in two small benthic fishes, Noemacheilus barbatulus (L.) and Cottus gobio L.","Welton et al._1983_tbl 10",NA,"1980-04-01"
"153","0001FFMGG68412GY9GJZPW5543",20.7,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","6","1967-08-04"
"154","0001FB8HSKWNZ29ZM44BXMS609",13.4,"Welton, J. S., JS, W., & CA, M. (1983). Food and habitat partitioning in two small benthic fishes, Noemacheilus barbatulus (L.) and Cottus gobio L.","Welton et al._1983_tbl 10",NA,"1981-02-01"
"155","0001FFMGG6N9W8QDJE8QQ9WRG2",12.8,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","6","1967-08-04"
"156","0001FFMGG6GC31X6KRBNTHJAXK",12,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","16","1967-08-04"
"157","0001FFMGG6MNQWTQ4P08N29JXB",10.4,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","8","1967-08-04"
"158","0001FFMGG6JDRFRMG7BK2RV8GN",8.2,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","10","1967-08-04"
"159","0001FFMGG6P3T28M491J91V1K2",7.1,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","16","1967-08-04"
"160","0001F846ZQ3WRTYSRSXZAA0GKS",3.875,"Moshin, A. M., & Gallaway, B. J. (1977). Seasonal abundance, distribution, food habitats and condition of the southern brook lamprey, Ichthyomyzon gagei Hubbs & Trautman, in an east Texas watershed. The Southwestern Naturalist, 107-114.","Moshin & Gallaway_1977_tbl 1","95","1974-03-11"
"161","0001FFMGG63PVF2NK8W4K8CHB3",2.1,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","11","1967-08-04"
"162","0001FFMGG69KC1RA5MS1SNZNZ9",2,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","10","1967-08-04"
"163","0001FFMGG63AR1DH7DG2A4DNEQ",1,"Page, L. M., Smith, P. W., & No, B. N. (1970). The life history of the Dusky Darter, Percina sciera. Embarras River, Illinois. Ill. Nat. Hist. Sur. Biol. Notes, 69, 1-15.","Page et al._1970_tbl 3","13","1967-08-04"
"164","0001FB8GZ7KTSJ1A1ERMEA19JJ",0,"Sagar, P. M., & Glova, G. J. (1994). Food partitioning by small fish in a coastal New Zealand stream. New Zealand journal of marine and freshwater research, 28(4), 429-436.","Sagar & Glova_1994_tbl 2","4","1993-03-04"
