site_name,lat,long,predator_min_length,predator_average_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling_interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,Detritus,Algae,Protist_Rotifoer,Vegetation,Seeds,Microcrustaceans,Worms,Molluscs,Macrocrustaceans,Aquatic insects,Terrestrial arthropods,Fish_other,Perciformes,Clupeidae,Mugiliforms,Cypriniformes
"Lagoon Toho-Todougba, Benin, West Africa",,,22,20,22,mm,standard,,Aplocheilichthys pfaffi,2,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0.49,0.51,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,36,31,46,mm,standard,,Barbus callipterus,24,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.37,0,0,0.06,0.02,0.01,0,0.01,0,0.25,0.05,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,71,60,82,mm,standard,,Brycinus longipinnis,188,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.01,0,0,0.01,0.06,0,0,0.01,0,0.39,0.51,0.01,0.01,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,83,13,5,mm,standard,,Chromidotilapia guntheri,20,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.58,0,0,0.01,0.12,0.03,0,0.01,0,0.1,0,0.15,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,179,140,210,mm,standard,,Chrysichthys auratus,7,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.6,0,0,0,0.01,0.01,0,0.09,0,0.3,0,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,69,5,3,mm,standard,,Hemichromis fasciatus,5,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,168,50.4,-320,mm,standard,,Hepsetus odoe,21,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0.01,0.89,0,0,0,0.1
"Lagoon Toho-Todougba, Benin, West Africa",,,209,201,216,mm,standard,,Parachanna obscura,2,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,21,20,22,mm,standard,,Pellonula sp.,2,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.4,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,408,360,456,mm,standard,,Protopterus annectens,2,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.48,0,0,0,0,0,0,0.51,0,0.01,0,0.01,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,182,110,350,mm,standard,,Sarotherodon galilaeus,3,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.86,0.13,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,,,,mm,standard,,Tilapia guineensis,1,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.76,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,45,22,25,mm,standard,,Tilapia mariae,11,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.81,0.16,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,,,,mm,standard,,Tilapia zillii,1,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0.91,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagoon Toho-Todougba, Benin, West Africa",,,148,142,157,mm,standard,,Xenomystus nigri,7,6/1/1994,9/1/1994,monthly,lentic,,volume,percent,Adite,1997,Ecoscience,"Alphonse Adite & Kirk O. Winemiller (1997) Trophic ecology and
ecomorphology of fish assemblages in coastal lakes of Benin, West Africa, Écoscience, 4:1, 6-23,
DOI: 10.1080/11956860.1997.11682371",table_4,presumably results are an average of all collections (not explicitly stated in paper),0,0,0,0,0,0.09,0,0,0,0.91,0,0,0,0,0,0
