type_of_fish,search_fish
"
Notropis_atherinoides",Notropis atherinoides
"
Notropis_blennius",Notropis blennius
Abramis brama,Abramis brama
Abramis brama L.,Abramis brama
Acanthopagrus butcheri,Acanthopagrus butcheri
Acestrohyncus  lacustris,Acestrohyncus  lacustris
Alburnus alburnus,Alburnus alburnus
Alosa macedonica,Alosa macedonica
Alosa sapidissima,Alosa sapidissima
Amargosa Pupfish,Amargosa Pupfish
Ameiurus_na,Ameiurus
Amniataba caudavittata,Amniataba caudavittata
Anchoa mitchilli,Anchoa mitchilli
Anguilla anguilla,Anguilla anguilla
Aplocheilichthys pfaffi,Aplocheilichthys pfaffi
Astyanax paranae,Astyanax paranae
Astyanax sp.,Astyanax
Auchenoglanis occidentalis,Auchenoglanis occidentalis
Awaous guamensis,Awaous guamensis
B(?)_nigrum,Etheostoma nigrum
Bagrus  bayad  macropterus,Bagrus  bajad
Bagrus  doniac  niger,Bagrus  docmak
Bagrus bayadi,Bagrus bayadi
Bagrus docmac,Bagrus docmac
Bairdiella chrysura,Bairdiella chrysura
Barbus acutirostris,Barbus acutirostris
Barbus aeneus,Barbus aeneus
Barbus brevicephalus,Barbus brevicephalus
Barbus callipterus,Barbus callipterus
Barbus crassibarbis,Barbus crassibarbis
Barbus dainelli,Barbus dainelli
Barbus gorgorensis,Barbus gorgorensis
Barbus gorguari,Barbus gorguari
Barbus longissimua,Barbus longissimua
Barbus macrophtalmus,Barbus macrophtalmus
Barbus megastoma,Barbus megastoma
Barbus nedgia,Barbus nedgia
Barbus platydorsus,Barbus platydorsus
Barbus surkis,Barbus surkis
Barbus truttiformis,Barbus truttiformis
Barbus tsanensis,Barbus tsanensis
Barbys oligolepis,Barbus oligolepis
black crappie,Pomoxis nigromaculatus
blue catfish,Ictalurus furcatus
bluegill,Lepomis macrochirus
bluegill sunfish,Lepomis macrochirus
Brycinus longipinnis,Brycinus longipinnis
C.(?)_clarki,Catostomus clarki
C._anomalum,Campostoma anomalum
C._perspizuus,C. perspizuus
Callinectes sapidus,Callinectes sapidus
Caranx hippos,Caranx hippos
Catostomus insignis,Catostomus insignis
channel catfish,Ictalurus punctatus
Characidium lanei,Characidium lanei
Chromidotilapia guntheri,Chromidotilapia guntheri
Chrysichthys auratus,Chrysichthys auratus
Chrysichthys nigrodigitatus,Chrysichthys nigrodigitatus
"Chrysichthys
nigrodigitatus",Chrysichthys nigrodigitatus
Chrysicthys  auratus longifilis,Chrysichthys  auratus
Chrysicthys  furcatus,Chrysichthys  furcatus
Chrysicthys  nigrodigitatus,Chrysichthys nigrodigitatus
Citharichthys stampflii,Citharichthys stampflii
Citharinus  citharus,Citharinus  citharus
Citharinus  distichodoides,Citharinus  distichodoides
Citharinus  latus,Citharinus  latus
Clarias gariepinus,Clarias gariepinus
Clarias liocephalus,Clarias liocephalus
Clariuas gariepinus,Clarias gariepinus
Clarius  macromysiax,Clarias  macromysiax
Clarius aghoyiensis,Clarias aghoyiensis
Clarius alhopunctattr.c,Clarias alhopunctattr.c
Clarius buettifkoferi,Clarias buettifkoferi
Clarius huthupogon,Clarias huthupogon
Corydoras barbatus,Corydoras barbatus
Craterocephalus cuneiceps,Craterocephalus cuneiceps
Crenicichla aff. Wallacii,Crenicichla
Crenicichla lugubris,Crenicichla lugubris
Cynoglossus senegalensis,Cynoglossus senegalensis
Cynoscion arenarius,Cynoscion arenarius
Cynoscion nebulosus,Cynoscion nebulosus
Cyprinella trichroistia,Cyprinella trichroistia
Deuterodon langei,Deuterodon langei
Dorosoma petenense,Dorosoma petenense
E.(?)_inconstans,Culaea inconstans
E._aestivalis,Macrhybopsis aestivalis
Economidichthys pygmaeus,Economidichthys pygmaeus
Eleotris senegalensis,Eleotris senegalensis
Elops lacerta,Elops lacerta
Epinephelus aeneus,Epinephelus aeneus
Esox niger,Esox niger
Esox_vermiculatus,Esox vermiculatus
Ethmalosa fimbriata,Ethmalosa fimbriata
Exoglossum maxillingua,Exoglossum maxillingua
GALAXIAS MACULATUS,Galaxias maculatus
Galeichthys f  elis,Galeichthys felis
Galeichthys felis,Galeichthys felis
Gambusia holbrooki,Gambusia holbrooki
Gasterosteus aculeatus,Gasterosteus aculeatus
Gerres melanopterus,Gerres melanopterus
Gerres nigri,Gerres nigri
Gila alrordensis,Gila alrordensis
Gila bicolor,Gila bicolor
Gila bicolor obesa,Gila bicolor obesa
Gila bicolor Pectinifer,Gila bicolor Pectinifer
Gila boraxobius,Gila boraxobius
Glanidium ribeiroi,Glanidium ribeiroi
H._hankinsoni,Hybognathus hankinsoni
H._notatus,Pimephales notatus
Haplochromis_nigricans,Haplochromis nigricans
Hemibrycon brevispini,Hemibrycon brevispini
Hemichromis fasciatus,Hemichromis fasciatus
Hepsetus odoe,Hepsetus odoe
Heterobranchus bidorsalis,Heterobranchus bidorsalis
Hisonotus leucofrenatus,Hisonotus leucofrenatus
Hoplias  malabaricus,Hoplias  malabaricus
Horabagrus brachysoma,Horabagrus brachysoma
Hyborhynchus_hankinsoni,Hyborhynchus hankinsoni
Hyborhynchus_notatus,Hyborhynchus notatus
Hypseleotris aurea,Hypseleotris aurea
Hypseleotris compressa,Hypseleotris compressa
Ictalurus furcatus,Ictalurus furcatus
Kronichthys subteres,Kronichthys subteres
Labeotropheus fuelleborni,Labeotropheus fuelleborni
Labidestiies_sicculus,Labidestiies sicculus
Lagodon rhomboides,Lagodon rhomboides
largemouth bass,largemouth bass
Largemouth Bass,Largemouth Bass
Leiopotherapon,Leiopotherapon
Leiostomus xanthurus,Leiostomus xanthurus
Lepomis gibbosus,Lepomis gibbosus
Lepomis m. macrochirus,Lepomis m. macrochirus
Lepomis_gibbons,Lepomis gibbons
Lepomis_gibbosus,Lepomis gibbosus
Lepomis_macrpchirus,Lepomis macrpchirus
Leporinus friderici,Leporinus friderici
Leptobotia elongata,Leptobotia elongata
Leusiscus vandoisulus,Leusiscus vandoisulus
Liniparhomaloptera dispar,Liniparhomaloptera dispar
Liza dumerili,Liza dumerili
Liza falcipinnis,Liza falcipinnis
Liza grandisquamis,Liza grandisquamis
longear sunfish,longear sunfish
Lutjanus agennes,Lutjanus agennes
Lutjanus goriensis,Lutjanus goriensis
Luxilus cardinalis,Luxilus cardinalis
Luxiluscornutus_na,Luxiluscornutus na
M.(?)_lesueurii,M.(?) lesueurii
Macrhybopsis tetranema,Macrhybopsis tetranema
Melanochromis auratus,Melanochromis auratus
Menidia beryllina,Menidia beryllina
Microglanus sp.,Microglanus 
Microperca_prolearis,Microperca prolearis
Micropogon undulatus,Micropogon undulatus
Micropterus dolomieu,Micropterus dolomieu
Micropterus salmoides,Micropterus salmoides
Micropterus_dolomieu,Micropterus dolomieu
Mimagoniates microleps,Mimagoniates microleps
Monodactylus sebae,Monodactylus sebae
Morone interrupta,Morone interrupta
Morone interrupto,Morone interrupta
Mugil bananensis,Mugil bananensis
Mugil cephalus,Mugil cephalus
Mugil curema,Mugil curema
Myrophys plumbeus,Myrophys plumbeus
N._cornutus,Luxilus cornutus
N._deliciosus,Notropis deliciosus
N._dorsalis,Notropis dorsalis
N._rubellus,Notropis rubellus
N._spilopterus,Cyprinella spilopterus
na_aestivalis,Macrhybopsis aestivalis
na_deliciosus,Notropis deliciosus
na_perspicuus,Pimephales vigilax
Notropis biguttatus,Notropis biguttatus
Notropis chrosomus,Notropis chrosomus
Notropis cornutus,Notropis cornutus
Notropis girardi,Notropis girardi
Notropis longirostris,Notropis longirostris
Notropis micropogon,Notropis micropogon
Notropis procne,Notropis procne
Notropis sabinae,Notropis sabinae
Notropis venustus,Notropis venustus
Notropis zonistius,Notropis zonistius
Notropis_cornutus,Luxilus cornutus
Noturus gyrinus,Noturus gyrinus
Oncorhynchus mykiss,Oncorhynchus mykiss
Oreochromis mossambicus,Oreochromis mossambicus
Oreochromis niloticus,Oreochromis niloticus
P._mirabilis,Phenacobius mirabilis
P._Promelas,Pimephales promelas
Pantosterus clarki,Pantosterus clarki
Parachanna obscura,Parachanna obscura
Pellonula sp.,Pellonela
Petrotilapia nigra,Petrotilapia nigra
Phalloceros caudimoaculatus,Phalloceros caudimoaculatus
Physailia pellucida,Physailia pellucida
Pimelodella pappenheimi,Pimelodella pappenheimi
Pinephales_promelas,Pinephales promelas
Plagioscion squamosissimus,Plagioscion squamosissimus
Pogonias cromis,Pogonias cromis
Polydactylus quadrifilis,Polydactylus quadrifilis
Pomadasys jubelini,Pomadasys jubelini
Pomadasys peroteti,Pomadasys peroteti
Progobius schlegelii,Progobius schlegelii
prosopium williamsoni,Prosopium williamsoni
Protopterus annectens,Protopterus annectens
Pseudogastromzyon myersi,Pseudogastromzyon myersi
Pseudogobius olorum,Pseudogobius olorum
Pseudotothyris obtusa,Pseudotothyris obtusa
Pseudotropheus elongatus,Pseudotropheus elongatus
Pseudotropheus gracilior,Pseudotropheus gracilior
Pseudotropheus tropheops,Pseudotropheus tropheops
Pseudotropheus zebra,Pseudotropheus zebra
Raphiodon  vulpinus,Raphiodon  vulpinus
readear sunfish,Lepomis microlophus
redspotted sunfish,Lepomis miniatus
Rhynichthys atronasus,Rhynichthys atronasus
Rineloricaria kronei,Rineloricaria kronei
Rutilus rutilus,Rutilus rutilus
S._atromaculatus,Semotilus atromaculatus
Salminus maxillosus,Salminus maxillosus
Salvelinus alpinus,Salvelinus alpinus
Sarotherodon galilaeus,Sarotherodon galilaeus
Sarotherodon melanotheron,Sarotherodon melanotheron
Scaphirhynchus_albus,Scaphirhynchus albus
Schizolecis guntheri,Schizolecis guntheri
Semotilus bullaris,Semotilus bullaris
Semotilus corporalis,Semotilus corporalis
Semotilus_Atromaculatus,Semotilus Atromaculatus
Sicyopterus stimpsoni,Sicyopterus stimpsoni
Siluranodon auritus,Siluranodon auritus
Smallmouth Bass,Smallmouth Bass
Sphyraena afra,Sphyraena afra
Squalius alburnoides,Squalius alburnoides
Squalius carolitertii,Squalius carolitertii
Squalius cii,Squalius cii
Stizostedion canadense,Stizostedion canadense
Strongylura senegalensis,Strongylura senegalensis
Synaptura lusitanica,Synaptura lusitanica
THYMALLUS MONTANUS,Tymallus montanus
Tilapia guineensis,Tilapia guineensis
Tilapia mariae,Tilapia mariae
Tilapia zillii,Tilapia zillii
Trachinotus teraia,Trachinotus teraia
Triportheus signatus,Triportheus signatus
warmouth,Lepomis gulosus
Xenomystus nigri,Xenomystus nigri
